# b6090c78-2c38-489a-9705-9f7a69b9fcd5,,
# 603fd3987364b09f9aacb70d1ed12c268e24dd56,,
# s_m,x_m,y_m
0.0000000,0.9668310445245268,0.25538354310917183
0.1999628,1.025716962449558,0.0324857169024171
0.3999256,1.0844850453079429,-0.1911087441135189
0.5998883,1.1429806043063095,-0.4148372906134621
0.7998511,1.2011888243448503,-0.6386990950949185
0.9998139,1.2590964037895285,-0.862691841979172
1.1997767,1.3166965607814316,-1.086836352287022
1.3997394,1.3739679279327202,-1.3111341687628486
1.5997022,1.430865748033963,-1.5354504082098142
1.7996650,1.4873887445932565,-1.759597545724978
1.9996278,1.5435781276837344,-1.9834338545445152
2.1995905,1.5995186636597556,-2.2068797360492742
2.3995533,1.6553119678500356,-2.429927586909808
2.5995161,1.7110358624508069,-2.6525650513872665
2.7994789,1.7668061185501909,-2.874757377631641
2.9994416,1.8227084563220366,-3.0964805432149514
3.1994044,1.8788317561559233,-3.3177152170942548
3.3993672,1.9352750030252894,-3.5384441607631905
3.5993300,1.992113473861823,-3.758629437403113
3.7992927,2.049453855800715,-3.978241683056998
3.9992555,2.1074654933730574,-4.197500109376932
4.1992183,2.166209579718713,-4.416740456861177
4.3991811,2.225656713359801,-4.63613067786122
4.5991438,2.2857435676784332,-4.855738783021145
4.7991066,2.3463801837776987,-5.075577893284464
4.9990694,2.4074833614196365,-5.295661169071862
5.1990322,2.468977171118083,-5.516013071149952
5.3989949,2.530788534251643,-5.736654475292614
5.5989577,2.5928380852263415,-5.9576063222536915
5.7989205,2.6550278860599392,-6.178896448990205
5.9988833,2.7172907976873373,-6.400543691949777
6.1988460,2.779539216940164,-6.622560065621974
6.3988088,2.8416653646114147,-6.844837832704326
6.5987716,2.9035941510773924,-7.067192717551887
6.7987344,2.96531723556714,-7.289547380861211
6.9986971,3.026846989500186,-7.511898156774788
7.1986599,3.0881956730903006,-7.7342412353873575
7.3986227,3.1493756990356556,-7.956572703790488
7.5985855,3.2103995907727483,-8.178889164496224
