# Generated by min_curvature_path_gen
# Minimum curvature optimal path
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;-0.9529195;-0.2512482;4.9585895;0.0002815;0.0000000;0.0000000
0.2296633;-0.8969457;-0.4739861;4.9586186;0.0002815;0.0000000;0.0000000
0.4585136;-0.8411572;-0.6959322;4.9587186;0.0006586;0.0000000;0.0000000
0.6870278;-0.7854192;-0.9175445;4.9589198;0.0011977;0.0000000;0.0000000
0.9157796;-0.7295654;-1.1393728;4.9592663;0.0017706;0.0000000;0.0000000
1.1441498;-0.6737091;-1.3608067;4.9597292;0.0018266;0.0000000;0.0000000
1.3727531;-0.6176865;-1.5824391;4.9601010;0.0020805;0.0000000;0.0000000
1.6010645;-0.5616798;-1.8037746;4.9606798;0.0033245;0.0000000;0.0000000
1.8294087;-0.5054644;-2.0250908;4.9616191;0.0038898;0.0000000;0.0000000
2.0583354;-0.4488903;-2.2469169;4.9624585;0.0036795;0.0000000;0.0000000
2.2873534;-0.3921363;-2.4687912;4.9633041;0.0044661;0.0000000;0.0000000
2.5169110;-0.3350303;-2.6911324;4.9645066;0.0054356;0.0000000;0.0000000
2.7468909;-0.2775023;-2.9138010;4.9658020;0.0053847;0.0000000;0.0000000
2.9771547;-0.2196429;-3.1366770;4.9669848;0.0044956;0.0000000;0.0000000
3.2080238;-0.1613640;-3.3600692;4.9678750;0.0036950;0.0000000;0.0000000
3.4392864;-0.1028550;-3.5838082;4.9686924;0.0041668;0.0000000;0.0000000
3.6707306;-0.0440648;-3.8076611;4.9698030;0.0043672;0.0000000;0.0000000
3.9029366;0.0151814;-4.0321817;4.9707172;0.0035923;0.0000000;0.0000000
4.1349962;0.0745386;-4.2565216;4.9714708;0.0031869;0.0000000;0.0000000
4.3680502;0.1343403;-4.4817723;4.9721995;0.0025748;0.0000000;0.0000000
4.6009109;0.1942309;-4.7067995;4.9726704;0.0021947;0.0000000;0.0000000
4.8336356;0.2541599;-4.9316757;4.9732213;0.0026614;0.0000000;0.0000000
5.0664167;0.3142778;-5.1565599;4.9739093;0.0027729;0.0000000;0.0000000
5.2982370;0.3742823;-5.3804798;4.9745096;0.0023502;0.0000000;0.0000000
5.5302060;0.4344592;-5.6045073;4.9749994;0.0026575;0.0000000;0.0000000
5.7614933;0.4945447;-5.8278536;4.9757407;0.0034673;0.0000000;0.0000000
5.9926462;0.5548408;-6.0510039;4.9766028;0.0031179;0.0000000;0.0000000
6.2234368;0.6151815;-6.2737667;4.9771810;0.0022899;0.0000000;0.0000000
6.4537255;0.6755091;-6.4960131;4.9776586;0.0022023;0.0000000;0.0000000
6.6837728;0.7358675;-6.7180010;4.9781948;0.0027105;0.0000000;0.0000000
6.9134296;0.7962674;-6.9395729;4.9789046;0.0032305;0.0000000;0.0000000
7.1427138;0.8567396;-7.1607388;4.9796774;0.0032844;0.0000000;0.0000000
7.3719249;0.9173638;-7.3817873;4.9804105;0.0024260;0.0000000;0.0000000
7.6009286;0.9780859;-7.6025938;4.9807890;0.0009188;0.0000000;0.0000000
7.8299903;1.0388378;-7.8234523;4.9808314;0.0006585;0.0000000;0.0000000
8.0592137;1.0996368;-8.0444656;4.9810908;0.0018071;0.0000000;0.0000000
8.2883531;1.1605240;-8.2653674;4.9816597;0.0017856;0.0000000;0.0000000
8.5177101;1.2216099;-8.4864401;4.9819095;0.0010167;0.0000000;0.0000000
8.7469785;1.2826418;-8.7074358;4.9811934;0.0041286;0.0000000;0.0000000
8.9764203;1.3434337;-8.9286775;4.9800157;0.0036781;0.0000000;0.0000000
9.2058171;1.4039786;-9.1499402;4.9795057;0.0007969;0.0000000;0.0000000
9.4352691;1.4645475;-9.3712536;4.9796500;0.0002850;0.0000000;0.0000000
9.6648691;1.5252100;-9.5926949;4.9796365;0.0020463;0.0000000;0.0000000
9.8944387;1.5858040;-9.8141234;4.9787105;0.0048842;0.0000000;0.0000000
10.1241344;1.6460814;-10.0357689;4.9773934;0.0039865;0.0000000;0.0000000
10.3538322;1.7061253;-10.2574800;4.9768791;0.0002777;0.0000000;0.0000000
10.5836115;1.7661966;-10.4792681;4.9775210;0.0045485;0.0000000;0.0000000
10.8134386;1.8265590;-10.7010266;4.9789696;0.0039052;0.0000000;0.0000000
